category,date,sales_millions
Furniture and home furnishings stores,2020-12-01,10373
Electronics and appliance stores,2020-12-01,6315
Clothing and clothing accessories stores,2020-12-01,19382
Furniture and home furnishings stores,2021-01-01,10215
Electronics and appliance stores,2021-01-01,6672
Clothing and clothing accessories stores,2021-01-01,14864
Furniture and home furnishings stores,2021-01-01,11555
Electronics and appliance stores,2021-01-01,7143
Clothing and clothing accessories stores,2021-01-01,20099
Furniture and home furnishings stores,2021-02-01,9690
Electronics and appliance stores,2021-02-01,5976
Clothing and clothing accessories stores,2021-02-01,15471
Furniture and home furnishings stores,2021-02-01,10900
Electronics and appliance stores,2021-02-01,6869
Clothing and clothing accessories stores,2021-02-01,19154
Furniture and home furnishings stores,2021-03-01,12133
Electronics and appliance stores,2021-03-01,7696
Clothing and clothing accessories stores,2021-03-01,22898
Furniture and home furnishings stores,2021-03-01,11734
Electronics and appliance stores,2021-03-01,8059
Clothing and clothing accessories stores,2021-03-01,23506
Furniture and home furnishings stores,2021-04-01,11591
Electronics and appliance stores,2021-04-01,7186
Clothing and clothing accessories stores,2021-04-01,22386
Furniture and home furnishings stores,2021-04-01,11779
Electronics and appliance stores,2021-04-01,8092
Clothing and clothing accessories stores,2021-04-01,23453
Furniture and home furnishings stores,2021-05-01,11580
Electronics and appliance stores,2021-05-01,7360
Clothing and clothing accessories stores,2021-05-01,24962
Furniture and home furnishings stores,2021-05-01,11580
Electronics and appliance stores,2021-05-01,7940
Clothing and clothing accessories stores,2021-05-01,24044
Furniture and home furnishings stores,2021-06-01,11350
Electronics and appliance stores,2021-06-01,7749
Clothing and clothing accessories stores,2021-06-01,23705
Furniture and home furnishings stores,2021-06-01,11488
Electronics and appliance stores,2021-06-01,8288
Clothing and clothing accessories stores,2021-06-01,24979
Furniture and home furnishings stores,2021-07-01,11660
Electronics and appliance stores,2021-07-01,7783
Clothing and clothing accessories stores,2021-07-01,24315
Furniture and home furnishings stores,2021-07-01,11510
Electronics and appliance stores,2021-07-01,8099
Clothing and clothing accessories stores,2021-07-01,24315
Furniture and home furnishings stores,2021-08-01,11728
Electronics and appliance stores,2021-08-01,7720
Clothing and clothing accessories stores,2021-08-01,24108
Furniture and home furnishings stores,2021-08-01,11464
Electronics and appliance stores,2021-08-01,7822
Clothing and clothing accessories stores,2021-08-01,23905
Furniture and home furnishings stores,2021-09-01,11616
Electronics and appliance stores,2021-09-01,7424
Clothing and clothing accessories stores,2021-09-01,21703
Furniture and home furnishings stores,2021-09-01,11501
Electronics and appliance stores,2021-09-01,7725
Clothing and clothing accessories stores,2021-09-01,24228
Furniture and home furnishings stores,2021-10-01,11704
Electronics and appliance stores,2021-10-01,7744
Clothing and clothing accessories stores,2021-10-01,23350
Furniture and home furnishings stores,2021-10-01,11763
Electronics and appliance stores,2021-10-01,8195
Clothing and clothing accessories stores,2021-10-01,24412
Furniture and home furnishings stores,2021-11-01,12443
Electronics and appliance stores,2021-11-01,8786
Clothing and clothing accessories stores,2021-11-01,27451
Furniture and home furnishings stores,2021-11-01,11607
Electronics and appliance stores,2021-11-01,7309
Clothing and clothing accessories stores,2021-11-01,25012
Furniture and home furnishings stores,2021-12-01,12340
Electronics and appliance stores,2021-12-01,10268
Clothing and clothing accessories stores,2021-12-01,37490
Furniture and home furnishings stores,2021-12-01,11167
Electronics and appliance stores,2021-12-01,7236
Clothing and clothing accessories stores,2021-12-01,23938
Furniture and home furnishings stores,2022-01-01,10107
Electronics and appliance stores,2022-01-01,6812
Clothing and clothing accessories stores,2022-01-01,17137
Furniture and home furnishings stores,2022-01-01,11538
Electronics and appliance stores,2022-01-01,7293
Clothing and clothing accessories stores,2022-01-01,23163
Furniture and home furnishings stores,2022-02-01,10422
Electronics and appliance stores,2022-02-01,6556
Clothing and clothing accessories stores,2022-02-01,19345
Furniture and home furnishings stores,2022-02-01,11645
Electronics and appliance stores,2022-02-01,7467
Clothing and clothing accessories stores,2022-02-01,23910
Furniture and home furnishings stores,2022-03-01,12363
Electronics and appliance stores,2022-03-01,7785
Clothing and clothing accessories stores,2022-03-01,24310
Furniture and home furnishings stores,2022-03-01,11888
Electronics and appliance stores,2022-03-01,8118
Clothing and clothing accessories stores,2022-03-01,25056
Furniture and home furnishings stores,2022-04-01,11967
Electronics and appliance stores,2022-04-01,7360
Clothing and clothing accessories stores,2022-04-01,24428
Furniture and home furnishings stores,2022-04-01,12199
Electronics and appliance stores,2022-04-01,8316
Clothing and clothing accessories stores,2022-04-01,25103
Furniture and home furnishings stores,2022-05-01,11977
Electronics and appliance stores,2022-05-01,7369
Clothing and clothing accessories stores,2022-05-01,25313
Furniture and home furnishings stores,2022-05-01,11953
Electronics and appliance stores,2022-05-01,7881
Clothing and clothing accessories stores,2022-05-01,24530
Furniture and home furnishings stores,2022-06-01,11654
Electronics and appliance stores,2022-06-01,7271
Clothing and clothing accessories stores,2022-06-01,23552
Furniture and home furnishings stores,2022-06-01,11772
Electronics and appliance stores,2022-06-01,7760
Clothing and clothing accessories stores,2022-06-01,24674
Furniture and home furnishings stores,2022-07-01,11503
Electronics and appliance stores,2022-07-01,7413
Clothing and clothing accessories stores,2022-07-01,23733
Furniture and home furnishings stores,2022-07-01,11631
Electronics and appliance stores,2022-07-01,7803
Clothing and clothing accessories stores,2022-07-01,24136
Furniture and home furnishings stores,2022-08-01,12294
Electronics and appliance stores,2022-08-01,7725
Clothing and clothing accessories stores,2022-08-01,24772
Furniture and home furnishings stores,2022-08-01,11776
Electronics and appliance stores,2022-08-01,7764
Clothing and clothing accessories stores,2022-08-01,24499
Furniture and home furnishings stores,2022-09-01,11852
Electronics and appliance stores,2022-09-01,7498
Clothing and clothing accessories stores,2022-09-01,22359
Furniture and home furnishings stores,2022-09-01,11665
