category,lag_months,n,correlation,pvalue,significant,ci_lower,ci_upper,ci_excludes_zero
furniture,8,136,0.2642053598725068,0.0018828173442373521,True,0.10033172204152138,0.4141230495357604,True
furniture,9,135,0.2841080559064063,0.0008395029561405311,True,0.12095401591207873,0.43231581090611676,True
furniture,10,134,0.30492628214975986,0.00034043511390489944,True,0.14271502951376155,0.45118562765784825,True
furniture,11,133,0.30613943970690366,0.00033877981352775606,True,0.14338179071175344,0.45277343009816146,True
furniture,12,132,0.3500155119947203,3.888026314968717e-05,True,0.19053576091820354,0.4914951576317029,True
laptops,0,144,-0.36593916142521726,6.468951880920493e-06,True,-0.4996113453750983,-0.21524482081241825,True
laptops,1,143,-0.35361478782439926,1.4754642376141342e-05,True,-0.4893606906339123,-0.20113862909444083,True
laptops,2,142,-0.3199836709229234,0.00010363801051183484,True,-0.4604434859385624,-0.1638923523679536,True
laptops,3,141,-0.4125580327646086,3.704735731216165e-07,True,-0.5409773725273649,-0.26533962476831435,True
laptops,4,140,-0.3037953805035173,0.00026330578007565693,True,-0.4471638958919129,-0.14520780740285358,True
laptops,5,139,-0.21588642620844245,0.01069674789243338,True,-0.3691218158674842,-0.051223906092313636,True
laptops,6,138,-0.17852145611215842,0.036176670019685817,True,-0.33561706488633575,-0.011764570682952426,True
laptops,7,137,-0.09580324168514763,0.26543476526130644,False,-0.2593544518128595,0.0730896730255352,False
laptops,8,136,-0.10083416274467927,0.24278904646212823,False,-0.2646774412839341,0.06866731339019207,False
laptops,9,135,-0.23089000520432634,0.007054540452561063,True,-0.3848372255834792,-0.06444384860464958,True
laptops,10,134,-0.2411446427569891,0.005002937689690434,True,-0.3945985709300405,-0.07460420183508118,True
laptops,11,133,-0.29546358568298337,0.0005549953092976977,True,-0.4433922653253109,-0.13186616359517858,True
laptops,12,132,-0.2303829487966469,0.007870584803347815,True,-0.3860605000590428,-0.06194604665727477,True
washing_machines,0,144,-0.5286152351248543,9.755853987592922e-12,True,-0.637103583263872,-0.3995889264568737,True
washing_machines,1,143,-0.4092865509466461,3.8643337803281323e-07,True,-0.5373370847761715,-0.26279060789514774,True
washing_machines,2,142,-0.31495359707443926,0.00013477976220858587,True,-0.4560242200535472,-0.1584437921552883,True
washing_machines,3,141,-0.3108039392477657,0.00017607677251296405,True,-0.452851294718687,-0.15336900670982173,True
washing_machines,4,140,-0.22899403710578675,0.006499373330066024,True,-0.3804465567930964,-0.06557922012286994,True
washing_machines,5,139,-0.1727072853514699,0.042041851348584236,True,-0.32972926202268116,-0.006387146666566804,True
washing_machines,6,138,-0.1431367361650157,0.09397017703537387,False,-0.3029971157274969,0.024558536211785865,False
washing_machines,7,137,-0.08550189172046656,0.3205029518498513,False,-0.24964049611194739,0.08341277991637258,False
washing_machines,8,136,-0.06468501421218172,0.45435667800430657,False,-0.2305109405034736,0.10479196206118783,False
washing_machines,9,135,-0.07936187544165502,0.36020669868720684,False,-0.24503637301712938,0.0908160666677428,False
washing_machines,10,134,-0.08697424132074866,0.3176676181147884,False,-0.2528363426095055,0.08385407341645947,False
washing_machines,11,133,-0.08089124556436494,0.3546562577814967,False,-0.24771010944396768,0.09058599123017375,False
washing_machines,12,132,-0.03759413140884464,0.6686752080887343,False,-0.2071390078186464,0.13414311293609207,False
